0.3125,0,0.69697,0.617647,0.25,0.031746,0
0.3125,0,0.69697,0.647059,0.25,0.079365,0
0.3125,0,0,0,0,0.079365,0
0.53125,0,0.757576,0.735294,0.5,0.190476,1
0.09375,0,0.454545,0.411765,0,0.507937,1
0.4375,0,0.575758,0.558824,0,0.047619,0
0.875,0,0.727273,0.735294,0.5,0.111111,1
0.34375,1,0.393939,0.470588,0.5,0.031746,0
0.65625,0,0.424242,0.411765,0.75,0.142857,0
0.21875,0,0.393939,0.676471,0.25,0.746032,1
0.65625,0,0.424242,0.411765,0.75,0.142857,1
0.75,0,0.090909,0.411765,0.25,0.428571,1
0.34375,0,0.666667,0.676471,0,0.031746,0
0.15625,0.666667,0.151515,0.147059,0.5,0.174603,0
1,0,0.818182,0.794118,0.5,0.031746,0
0.5625,0,0.848485,0.852941,1,0.793651,1
0.53125,0,0.242424,0.558824,0.5,0.111111,0
0.28125,0,0.424242,0.5,0.75,0.904762,1
0.5625,0,0.848485,0.852941,1,0.238095,0
0.5625,0,0.848485,0.852941,1,0.222222,0
