0.34375,0,0.666667,0.676471,0,0.031746,0
0.34375,1,0.393939,0.470588,0.5,0.15873,1
0.4375,0.666667,0.606061,0.647059,0.5,0.777778,1
0.875,0,0.727273,0.735294,0.75,0.285714,1
0.5,0,0.515152,0.5,0.5,0.190476,0
0.5625,0,0.848485,0.852941,1,0.269841,1
0,0.666667,0.090909,0.441176,0.5,0.269841,0
0.9375,0,0.818182,0.764706,0.75,0.111111,1
0.25,0,0.545455,0.5,0.25,0.253968,0
0.78125,0,0.878788,0.823529,0.75,0.587302,1
0.3125,0,0.606061,0.558824,0.25,0.492063,1
0.5625,0,0.848485,0.852941,1,0.111111,0
0.5625,0,0.848485,0.852941,1,0.142857,0
0.78125,0,0.878788,0.823529,0.75,0.761905,1
0.5625,0,0.878788,0.558824,0,0.031746,0
0.78125,0,0.666667,0.647059,0.5,0.047619,0
0.875,0,0.727273,0.735294,0.5,0.111111,1
0,0.666667,0.090909,0.441176,0.5,0.031746,0
0,0.666667,0.090909,0.441176,0.5,0.269841,0
0.34375,0,0.666667,0.676471,0,0.031746,0
